Strain Amplitude (%),Material,Heat Treatment,Cycle,Relative Cycle,eIP (%),sigmayT (MPa),sigma dot _T (GPa),Wp (kJ/m3),We+ (kJ/m3),sigmaMT (MPa),sigmaMC (MPa)
0.6,0,300,39,0.031476998,0.473266,-42.28439228,27.89507827,0.074489167,0.052419252,242.1652882,-221.6118339
0.6,0,300,60,0.04842615,-0.0136256,-43.06410651,26.48266297,0.078580989,0.053816955,246.3285594,-224.1203702
0.6,0,300,93,0.075060533,0.042305,-29.40267148,27.12410019,0.080065055,0.054976872,249.9814919,-226.0444805
0.6,0,300,144,0.11622276,0.154433,-28.20436435,26.99027254,0.08051539,0.056515653,254.5313834,-228.4091582
0.6,0,300,221,0.178369653,0.486012,-25.82555259,28.06087468,0.0801917,0.058323741,258.1753247,-230.7148537
0.6,0,300,340,0.274414851,-0.0233006,-22.80405202,29.40364809,0.079173282,0.060013299,262.5489893,-232.5940082
0.6,0,300,524,0.422921711,0.487123,-20.01171839,30.36025727,0.078567794,0.062085611,267.6721578,-234.2836288
0.6,0,300,619,0.499596449,0.174246,-19.41193544,30.24132554,0.077910491,0.06272023,269.2082092,-236.5727806
0.6,0,300,805,0.649717514,0.511346,-18.3197241,30.56310961,0.077038477,0.063809782,271.1668456,-238.8550991
0.6,0,300,1238,0.999192897,0.420065,-12.42939303,32.31214899,0.074884464,0.067720852,280.0411301,-241.6477565
0.4,0,300,3,0.000621633,0.0554705,91.55460765,61.38453804,0.002330028,0.016252033,143.4774258,-115.8435842
0.4,0,300,5,0.001036055,0.18784,84.95128968,59.46832582,0.003472618,0.018972651,153.6041936,-127.5574527
0.4,0,300,8,0.001657688,0.211115,58.31550685,57.52659493,0.00564892,0.02236364,165.1283157,-141.7535062
0.4,0,300,14,0.002900953,0.0649738,85.35238544,55.14499214,0.008954029,0.027402507,181.0263257,-163.1177962
0.4,0,300,24,0.004973063,0.298672,44.52630992,50.10860321,0.014488674,0.0329195,196.5250403,-178.4055214
0.4,0,300,41,0.008495649,0.0897551,32.38369389,47.58432557,0.019646739,0.035918768,204.2797984,-187.0099976
0.4,0,300,71,0.014711977,0.278988,29.95692052,45.45713131,0.022691121,0.037478166,208.2036239,-190.2130029
0.4,0,300,120,0.024865313,0.339088,39.87338308,45.61481367,0.023449996,0.037101559,205.8139717,-189.9915721
0.4,0,300,203,0.042063821,0.338159,8.85208259,43.3830771,0.024182138,0.036805262,206.2759159,-191.7875017
0.4,0,300,345,0.071487775,0.279927,10.17364631,44.78464507,0.024449238,0.035984197,206.4451394,-194.1598715
0.4,0,300,585,0.1212184,0.335155,-0.68459557,44.58784854,0.024883222,0.035864884,208.8751172,-200.6656159
0.4,0,300,991,0.205346042,0.331631,6.909468534,45.5498107,0.025449509,0.036482474,209.7140338,-203.4131579
0.4,0,300,1680,0.34811438,0.329309,8.870985218,46.81514278,0.024780409,0.036941889,213.3339771,-207.5389715
0.4,0,300,2413,0.5,0.322771,9.258111035,46.86578452,0.016839405,0.037049528,213.1726746,-209.6683075
0.4,0,300,2848,0.590136759,0.285921,-21.00503206,45.50052836,0.025080039,0.03761442,212.9796878,-212.1083667
0.4,0,300,4825,0.999792789,0.338964,-39.80785397,48.58523471,0.022742894,0.042919757,239.1625277,-212.7190116
1,0,300,3,0.012931034,0.596962,-90.65959305,15.24830263,0.23789164,0.064872828,271.9372929,-239.6141477
1,0,300,4,0.017241379,0.606012,-89.91999353,15.41143662,0.238728105,0.068284656,276.5326092,-242.2975206
1,0,300,5,0.021551724,0.619812,-91.76791939,15.36269047,0.244728819,0.068598942,280.151926,-244.8453479
1,0,300,7,0.030172414,0.291348,-94.43376792,15.09429315,0.255141926,0.073575255,285.6649465,-248.697846
1,0,300,10,0.043103448,0.0985336,-84.93020032,14.77071918,0.269030019,0.074825126,290.4701975,-252.2098707
1,0,300,14,0.060344828,0.443893,-89.04413319,14.16704897,0.283859672,0.076249424,294.8713153,-255.6296244
1,0,300,19,0.081896552,0.544872,-79.42254438,13.79767864,0.295438721,0.079419805,297.4960352,-257.9657288
1,0,300,26,0.112068966,0.556903,-80.39425225,13.48001975,0.3008946,0.07996874,298.5718163,-259.6766786
1,0,300,35,0.150862069,0.609779,-82.78829438,13.43073917,0.3068787,0.079950214,300.0710432,-261.7645809
1,0,300,49,0.211206897,0.61398,-83.14736494,13.07446928,0.306421352,0.078348085,299.51384,-263.9046986
1,0,300,66,0.284482759,0.743628,-83.07476402,13.10458925,0.306334893,0.079973449,300.2495055,-266.1964557
1,0,300,91,0.392241379,0.6107,-80.92391708,13.41695326,0.301748984,0.080710954,301.6253466,-267.6903179
1,0,300,116,0.5,0.560198,-79.77017046,13.53114535,0.298901402,0.082493593,301.6135445,-269.3390383
1,0,300,124,0.534482759,0.609369,-80.21650517,13.54439118,0.300578432,0.082302137,303.6023805,-270.02678
1,0,300,170,0.732758621,0.653629,-78.23589488,13.68584941,0.295551325,0.081461682,304.2350456,-271.7720632
1,0,300,232,1,0.51549,-75.32220183,14.21207548,0.287300282,0.081838805,300.5760308,-273.209776
0.6,0,300,3,0.004451039,0.287714,58.62678079,54.04434115,0.011057787,0.033161199,197.6178884,-182.0942109
0.6,0,300,4,0.005934718,0.301871,58.22631627,52.72308414,0.012757638,0.035024968,203.4366992,-188.2756386
0.6,0,300,6,0.008902077,0.327911,49.27299645,50.54400259,0.01719774,0.039868458,214.3433198,-198.0028534
0.6,0,300,9,0.013353116,0.362158,48.52325189,47.13754033,0.027050148,0.045180502,227.8535006,-207.7466491
0.6,0,300,14,0.020771513,0.381889,32.51371832,42.26200411,0.044782162,0.050676734,239.9402481,-216.2382271
0.6,0,300,20,0.029673591,0.42047,16.25493073,38.18558413,0.059665874,0.055685403,249.6916133,-221.593494
0.6,0,300,30,0.044510386,0.45033,2.322499595,35.25050304,0.07179379,0.060736572,260.3091498,-225.575791
0.6,0,300,44,0.065281899,0.464921,5.061388577,33.78758973,0.076623063,0.065435508,268.827041,-225.6179642
0.6,0,300,66,0.097922849,0.471664,9.745057284,33.36482547,0.07950922,0.069689755,277.3384441,-223.7050342
0.6,0,300,97,0.143916914,0.473547,15.8411294,33.98002979,0.080178526,0.073174468,284.4217279,-220.9850474
0.6,0,300,143,0.212166172,0.471854,21.41858014,34.67077156,0.080032021,0.07655979,291.1434763,-218.9538885
0.6,0,300,211,0.31305638,0.472784,25.96733087,35.48913636,0.08005222,0.079763539,297.375728,-218.9787598
0.6,0,300,310,0.459940653,0.470471,30.38714716,36.44945598,0.079116538,0.08396185,304.1010809,-217.1919887
0.6,0,300,337,0.5,0.470543,32.45013421,36.55979926,0.07799014,0.084089812,304.2989702,-217.1454902
0.6,0,300,457,0.678041543,0.47348,48.54920458,37.2193744,0.076755385,0.086736766,308.1475388,-216.1297305
0.6,0,300,674,1,0.473099,23.27055735,35.43140462,0.078527559,0.079033906,293.5401357,-221.6273766
0.4,0,300,3,0.001505268,0.181994,147.8625905,62.75666753,0.002423039,0.017152393,148.4082089,-122.1770263
0.4,0,300,4,0.002007025,0.190411,81.38447169,61.00676734,0.002886058,0.018668408,153.0484915,-127.6963607
0.4,0,300,7,0.003512293,0.215554,55.6527175,58.87739962,0.004554752,0.022027161,165.8741328,-143.1093592
0.4,0,300,12,0.006021074,0.236001,65.30171935,56.42392948,0.007795768,0.027023873,181.6194822,-160.6694672
0.4,0,300,19,0.009533367,0.0545406,76.10474746,53.52749461,0.011652813,0.031840475,195.5262564,-176.8691378
0.4,0,300,30,0.015052684,0.314465,46.82142155,50.92238279,0.015958467,0.036615122,206.4263555,-189.1758643
0.4,0,300,48,0.024084295,0.312924,65.99998101,48.87494734,0.01940615,0.037972384,210.7591864,-195.2581383
0.4,0,300,77,0.038635223,0.337496,55.73066298,47.7613045,0.021591551,0.038622052,212.1993736,-194.8359336
0.4,0,300,123,0.061716006,0.339589,55.57513287,46.99424454,0.019590679,0.03851526,212.4613571,-193.404407
0.4,0,300,195,0.097842449,0.337648,47.94441395,46.53518233,0.023386325,0.039564559,215.2334739,-190.9996443
0.4,0,300,311,0.156046162,0.335879,53.84914551,46.65277975,0.024380854,0.041099505,220.3991668,-187.0471586
0.4,0,300,495,0.248369293,0.335498,62.2629279,47.19087199,0.025234602,0.044743707,230.3321645,-180.9728234
0.4,0,300,787,0.394882087,0.232925,70.60850799,47.37708459,0.025952069,0.053494242,247.1304997,-166.903302
0.4,0,300,996,0.499749122,0.350695,72.22154656,47.29281173,0.025888939,0.055547623,257.3774445,-157.7032084
0.4,0,300,1252,0.628198695,0.32639,82.23790261,48.16386293,0.025478874,0.060325485,266.559856,-149.7036918
0.4,0,300,1993,1,0.320673,94.70665466,49.17722847,0.02356776,0.068887837,285.2862594,-137.3385062
0.6,0,300,3,0.004273504,0.284553,39.13657381,53.79946381,0.011215809,0.031818814,195.7449368,-186.6152106
0.6,0,300,4,0.005698006,0.299525,86.46861048,53.83844181,0.013061565,0.034289959,201.7929293,-192.4326144
0.6,0,300,6,0.008547009,0.324268,68.05146295,51.43082089,0.017366568,0.038811136,212.1871044,-203.76827
0.6,0,300,9,0.012820513,0.36108,24.09165122,47.6308343,0.02567442,0.04330018,223.9507385,-214.0466095
0.6,0,300,14,0.01994302,0.384178,6.234123425,42.49681221,0.042847471,0.049162845,236.0777573,-223.9438822
0.6,0,300,21,0.02991453,0.426431,-12.65859983,37.67664423,0.060502826,0.053687607,246.4903363,-230.3621157
0.6,0,300,31,0.044159544,0.451317,-15.59627867,34.82191088,0.070081385,0.057493028,254.0470791,-233.8043473
0.6,0,300,45,0.064102564,0.467091,-15.5803648,33.26933936,0.07578525,0.0614324,261.4280838,-235.1207599
0.6,0,300,67,0.095441595,0.473032,1.545626548,33.21550323,0.078084936,0.064937436,269.1677821,-233.2500682
0.6,0,300,100,0.142450142,0.475321,6.487085402,33.62309111,0.079721266,0.068484535,276.9969733,-230.6486376
0.6,0,300,147,0.209401709,0.475283,12.31383539,34.39649571,0.079838764,0.071835274,283.7811176,-228.5957122
0.6,0,300,218,0.310541311,0.501761,5.36647467,34.34950124,0.079939596,0.074952363,290.1957426,-227.1493904
0.6,0,300,322,0.458689459,0.501318,22.9753347,35.48684014,0.078813473,0.078220825,295.2369392,-226.9018413
